county,population,asthma,smoking
Otter Tail MN,58812,8.4,17
Turner SD,8424,8.4,17
Wabasha MN,21645,8.3,17
Lac qui Parle MN,6658,8.3,17
Marshall SD,5112,8.2,17
Alpine CA,1101,10.8,16.9
Yamhill OR,107002,10.7,16.9
Wallowa OR,7081,10.7,16.9
Mason WA,65507,10.6,16.9
Ontario NY,109864,10.4,16.9
Chatham GA,289195,9.6,16.9
Butler PA,187888,9.5,16.9
Grand CO,15525,9.4,16.9
Miami KS,33680,9.4,16.9
Washington TX,35108,9.4,16.9
Chesapeake VA,242634,9.4,16.9
Haines AK,2474,9.4,16.9
Rankin MS,153902,9.3,16.9
Trego KS,2793,9.3,16.9
Cheyenne KS,2660,9.3,16.9
Kingman KS,7310,9.3,16.9
Greeley KS,1227,9.3,16.9
Wabaunsee KS,6899,9.2,16.9
Stillwater MT,9534,9.1,16.9
Coweta GA,145864,9.1,16.9
Dorchester SC,160647,9.1,16.9
Refugio TX,7032,8.9,16.9
Calumet WI,50159,8.9,16.9
Saline NE,14350,8.6,16.9
Sheridan WY,30233,8.6,16.9
Winona MN,50825,8.6,16.9
Perkins SD,2922,8.5,16.9
Hardin IA,16868,8.5,16.9
Hutchinson SD,7380,8.5,16.9
Plymouth IA,25095,8.4,16.9
Jerauld SD,2043,8.3,16.9
Aurora SD,2801,8.2,16.9
Douglas MN,37964,8.1,16.9
Sullivan NH,43144,11.2,16.8
Hancock ME,54811,11.2,16.8
Orange NY,381951,10.7,16.8
Asotin WA,22610,10.6,16.8
Sagadahoc ME,35634,10.4,16.8
Kern CA,896764,10.2,16.8
Centre PA,162805,9.7,16.8
Greenlee AZ,9483,9.6,16.8
Colfax NM,12110,9.6,16.8
Woodford IL,38463,9.1,16.8
Scott IA,173283,9,16.8
Henderson NC,116748,9,16.8
King George VA,26575,8.9,16.8
Clay NE,6214,8.7,16.8
Hughes SD,17650,8.7,16.8
Uvalde TX,26846,8.7,16.8
Cavalier ND,3829,8.6,16.8
Calhoun TX,21561,8.5,16.8
Jones SD,928,8.5,16.8
Lake SD,13057,8.4,16.8
Goodhue MN,46403,8.4,16.8
Douglas SD,2935,8.4,16.8
Reagan TX,3741,8.3,16.8
Houston MN,18578,8.2,16.8
Franklin VT,49421,11.3,16.7
Polk OR,85234,10.9,16.7
Curry OR,22813,10.9,16.7
Grays Harbor WA,73901,10.7,16.7
Hood River OR,23428,10.5,16.7
Keweenaw MI,2113,9.7,16.7
Cumberland PA,251423,9.6,16.7
Madison AL,366519,9.6,16.7
Livingston MI,191224,9.6,16.7
Fredericksburg VA,29144,9.5,16.7
Clark KS,2005,9.4,16.7
Harvey KS,34210,9.3,16.7
Pierce WI,42555,9.2,16.7
Beaverhead MT,9404,9.2,16.7
Mathews VA,8802,8.9,16.7
Jefferson NE,7097,8.9,16.7
St. Charles MO,399182,8.9,16.7
Daniels MT,1747,8.9,16.7
Castro TX,7665,8.7,16.7
Winnebago IA,10518,8.4,16.7
Kossuth IA,14908,8.3,16.7
Edmunds SD,3875,8.3,16.7
Butler NE,8058,8.2,16.7
Cedar IA,18627,8.2,16.7
Monroe FL,75027,8,16.7
Adams WA,19759,10.8,16.6
Glenn CA,28047,10.1,16.6
Knox ME,39771,10.1,16.6
Jefferson ID,29439,9.6,16.6
Butte ID,2611,9.4,16.6
Caribou ID,7060,9.3,16.6
St. Mary's MD,112664,9.3,16.6
Northumberland VA,12147,9.2,16.6
Alachua FL,269956,9.1,16.6
Moore NC,98682,9.1,16.6
Washoe NV,465735,9,16.6
Greenville SC,514213,9,16.6
Sheboygan WI,115456,8.9,16.6
Burnet TX,47542,8.9,16.6
Dare NC,36501,8.9,16.6
Victoria TX,92035,8.8,16.6
Webb TX,275910,8.7,16.6
Red Willow NE,10726,8.7,16.6
Atascosa TX,50310,8.6,16.6
Jim Wells TX,40822,8.5,16.6
Nance NE,3532,8.5,16.6
Madison NE,35392,8.5,16.6
Shelby IA,11578,8.5,16.6
Morrill NE,4686,8.4,16.6
Hancock IA,10712,8.3,16.6
Rice MN,66523,8.3,16.6
Kingsbury SD,4919,8.3,16.6
Osceola FL,367990,8.2,16.6
Jefferson IA,18381,8,16.6
Schenectady NY,155350,11.5,16.5
Lincoln ME,34342,10.6,16.5
Strafford NH,130090,10.3,16.5
Madera CA,157672,10.1,16.5
Catron NM,3578,9.8,16.5
Twin Falls ID,86081,9.7,16.5
Missoula MT,118791,9.2,16.5
Boone IN,66999,9.1,16.5
Broward FL,1951260,8.7,16.5
Pawnee NE,2632,8.7,16.5
Cerro Gordo IA,42647,8.6,16.5
Foster ND,3216,8.6,16.5
Clay MN,63955,8.5,16.5
Hitchcock NE,2806,8.5,16.5
Saunders NE,21303,8.4,16.5
Nicollet MN,34220,8.1,16.5
Onondaga NY,461809,11.3,16.4
Lamoille VT,25300,10.8,16.4
Pacific WA,22036,10.7,16.4
Multnomah OR,811880,10.7,16.4
Ottawa MI,290494,9.6,16.4
Oldham KY,66470,9.4,16.4
Republic KS,4664,9.2,16.4
Rawlins KS,2508,9.2,16.4
Dallas TX,2637772,9.2,16.4
Bandera TX,22824,9,16.4
Fisher TX,3839,8.8,16.4
Goliad TX,7584,8.8,16.4
Merrick NE,7733,8.6,16.4
Hayes NE,916,8.6,16.4
Scotts Bluff NE,35989,8.6,16.4
Roanoke VA,94073,8.6,16.4
Custer NE,10840,8.6,16.4
Val Verde TX,49208,8.5,16.4
Adams ND,2294,8.5,16.4
Webster NE,3533,8.4,16.4
Dakota NE,20083,8,16.4
Merrimack NH,151132,10.4,16.3
Clackamas OR,416075,10.3,16.3
Merced CA,274765,10,16.3
Ocean NJ,601651,9.6,16.3
Gloucester NJ,291408,9.6,16.3
McLean IL,172828,9.4,16.3
Richland SC,414576,9.4,16.3
Chaffee CO,20027,9.2,16.3
Jefferson MT,12097,9.1,16.3
Hodgeman KS,1818,9.1,16.3
Austin TX,29989,9,16.3
Wichita KS,2105,8.9,16.3
Franklin TX,10766,8.9,16.3
Sweet Grass MT,3710,8.9,16.3
Dawson GA,25083,8.7,16.3
Warren OH,232173,8.7,16.3
Stevens MN,9753,8.7,16.3
Yoakum TX,8591,8.5,16.3
Poweshiek IA,18699,8.5,16.3
Keith NE,8021,8.3,16.3
Lane OR,379611,11.4,16.2
Phillips CO,4286,9.5,16.2
Lewis and Clark MT,68700,9.4,16.2
Comanche KS,1748,9.3,16.2
Portage WI,70942,9.2,16.2
Monroe IL,34335,9,16.2
San Juan CO,762,9,16.2
Mason TX,4280,8.8,16.2
Wheeler NE,805,8.6,16.2
Irion TX,1522,8.6,16.2
Antelope NE,6336,8.4,16.2
Stanton NE,5970,8.4,16.2
Rutland VT,58672,11,16.1
Orange VT,28999,10.7,16.1
Pend Oreille WA,13602,10.7,16.1
Humboldt CA,136373,10.5,16.1
Madison ID,39304,10.4,16.1
Shasta CA,180040,10.2,16.1
Cape May NJ,92560,9.7,16.1
Montgomery VA,98985,9.4,16.1
Warren NJ,105779,9.2,16.1
Denver CO,716492,9,16.1
Juneau AK,32113,8.9,16.1
Union GA,24001,8.9,16.1
Furnas NE,4715,8.8,16.1
Adams NE,31511,8.6,16.1
Marion IA,33407,8.5,16.1
Hamilton IA,14952,8.4,16.1
Jim Hogg TX,5248,8.3,16.1
Palo Alto IA,8929,8.3,16.1
Martin FL,160912,8,16.1
Coconino AZ,142854,10.9,16
York ME,206229,10.6,16
Skamania WA,11924,10.5,16
Cochise AZ,126770,10,16
Champaign IL,209983,9.5,16
Teller CO,25083,9.4,16
Bonneville ID,116854,9.4,16
Harford MD,253956,9.4,16
Cook IL,5180493,9.3,16
DeKalb GA,756558,9.3,16
La Crosse WI,118230,9.1,16
Carbon MT,10714,9,16
Henrico VA,329261,8.9,16
Hood TX,60537,8.9,16
Storey NV,4029,8.8,16
Terrell TX,823,8.7,16
Tom Green TX,118189,8.7,16
Park WY,29324,8.7,16
Madison MT,8768,8.7,16
Columbia GA,154291,8.7,16
Wilson TX,50224,8.5,16
Franklin NE,3023,8.5,16
Custer SD,8726,8.4,16
Steele ND,1903,8.3,16
Dubuque IA,96854,8.3,16
Union SD,15619,8.2,16
Hand SD,3262,8.2,16
Cass NE,26159,8.1,16
Windham CT,117027,11.2,15.9
Suffolk MA,807252,10.8,15.9
Siskiyou CA,43724,10.3,15.9
Lincoln NM,19556,9.7,15.9
Kootenai ID,161505,9.5,15.9
Lubbock TX,307412,9.1,15.9
Orange FL,1380645,8.9,15.9
McPherson NE,492,8.8,15.9
Rappahannock VA,7252,8.8,15.9
Nemaha NE,6958,8.6,15.9
Edwards TX,1928,8.6,15.9
Harris TX,4698619,8.6,15.9
Valley NE,4190,8.4,15.9
Fillmore NE,5527,8.4,15.9
Ramsey MN,550210,8.3,15.9
Howard NE,6468,8.3,15.9
Seminole FL,467832,8.3,15.9
Faulk SD,2330,8.2,15.9
Wright MN,136349,7.9,15.9
District of Columbia DC,702455,10.6,15.8
Pima AZ,1039073,10.4,15.8
Mendocino CA,87606,10.2,15.8
Essex NJ,799767,10.2,15.8
Cheshire NH,76493,10,15.8
Plymouth MA,518132,9.9,15.8
McHenry IL,308570,9.1,15.8
Burleigh ND,95273,9.1,15.8
Clay SD,14041,9.1,15.8
Kendall IL,127915,8.9,15.8
Kane IL,534216,8.9,15.8
Nuckolls NE,4195,8.5,15.8
Kearney NE,6544,8.4,15.8
Crane TX,4794,8.4,15.8
Logan NE,749,8.4,15.8
Lake MN,10658,8.1,15.8
Sioux IA,34909,8.1,15.8
Hall NE,61607,8.1,15.8
Hillsborough NH,415247,10.6,15.7
Fresno CA,994400,10.2,15.7
Sandoval NM,145179,10,15.7
Stanislaus CA,549815,10,15.7
Deschutes OR,191996,9.9,15.7
Riley KS,73703,9.9,15.7
San Miguel NM,27591,9.5,15.7
La Plata CO,56310,9.4,15.7
Huerfano CO,6889,9.3,15.7
Wallace KS,1503,9.1,15.7
Will IL,692310,9,15.7
Polk NC,20611,9,15.7
Petroleum MT,513,8.8,15.7
Hudson NJ,676061,8.6,15.7
Lancaster NE,317272,8.6,15.7
Harlan NE,3401,8.5,15.7
Warren IA,51056,8.2,15.7
La Salle TX,7531,7.8,15.7
Yavapai AZ,231993,10.4,15.6
Belknap NH,61022,10.2,15.6
Taos NM,32835,9.7,15.6
Sutter CA,96807,9.6,15.6
Maui HI,167207,9.4,15.6
Tarrant TX,2084931,9.3,15.6
Queen Anne's MD,50251,9.1,15.6
Hanover VA,107239,8.6,15.6
Montgomery TX,590925,8.6,15.6
Fauquier VA,70675,8.6,15.6
Potter SD,2207,8.3,15.6
Dixon NE,5709,8.2,15.6
Sully SD,1392,8,15.6
Miami-Dade FL,2761581,7.9,15.6
Albany NY,307117,10.9,15.5
Yakima WA,251446,10.7,15.5
Douglas WA,42907,10.2,15.5
Yuma AZ,212128,10,15.5
Passaic NJ,503310,9.6,15.5
Lancaster VA,10783,9.3,15.5
Park CO,18556,9.2,15.5
Llano TX,21646,9.1,15.5
Chatham NC,73139,9,15.5
Goochland VA,23244,8.9,15.5
Armstrong TX,1892,8.8,15.5
Platte MO,102985,8.8,15.5
Brazoria TX,370200,8.5,15.5
Medina TX,50921,8.4,15.5
Polk NE,5278,8.4,15.5
Crockett TX,3499,8.3,15.5
St. Johns FL,254261,8.3,15.5
Boone NE,5239,8.2,15.5
Carroll NH,48779,10.4,15.4
Kings NY,2582830,10.1,15.4
Imperial CA,181827,9.3,15.4
St. Louis MO,996945,9.2,15.4
Fluvanna VA,26783,9.1,15.4
Towns GA,11852,9.1,15.4
Kent TX,726,8.8,15.4
Washington WI,135693,8.8,15.4
St. Croix WI,89694,8.7,15.4
Otoe NE,15985,8.3,15.4
Banner NE,730,8.3,15.4
Midland TX,172578,8.3,15.4
Pierce NE,7142,8.2,15.4
Windham VT,42756,10.9,15.3
Spokane WA,514631,10.2,15.3
Butte CA,231256,10.1,15.3
Colusa CA,21627,9.7,15.3
Bucks PA,628195,9.5,15.3
Durham NC,316739,9.4,15.3
Albany WY,38601,9.3,15.3
Boise ID,7634,9.3,15.3
Mecklenburg NC,1093901,9.2,15.3
Blanco TX,11702,8.8,15.3
Kerr TX,52405,8.8,15.3
Carson TX,6005,8.7,15.3
Guadalupe TX,163694,8.6,15.3
Cherokee GA,254149,8.6,15.3
Cook MN,5393,8.4,15.3
Chase NE,3977,8.4,15.3
Nueces TX,362265,8.3,15.3
Cheyenne NE,9310,8.2,15.3
Dickinson IA,17153,8.1,15.3
Campbell SD,1377,8,15.3
Arapahoe CO,651215,9.5,15.2
El Paso CO,713856,9.1,15.2
Delaware OH,204826,8.6,15.2
Guadalupe NM,4341,8.5,15.2
Thomas NE,720,8.3,15.2
Palm Beach FL,1485941,8.3,15.2
Boyd NE,1955,8.2,15.2
Stanley SD,3022,8.1,15.2
Grundy IA,12304,8.1,15.2
Bennington VT,35631,11.2,15.1
Uintah UT,35438,10.6,15.1
Charles MD,161503,10.2,15.1
Skagit WA,128206,10.1,15.1
Maricopa AZ,4410824,10,15.1
Kent MD,19383,9.8,15.1
Union NJ,558067,9.6,15.1
San Bernardino CA,2171603,9.6,15.1
Oakland MI,1259201,9.6,15.1
Burlington NJ,445384,9.5,15.1
Custer CO,4954,9.5,15.1
Chesterfield VA,348556,8.9,15.1
Summit CO,31007,8.9,15.1
Hidalgo TX,865939,8.5,15.1
Schleicher TX,2895,8.5,15.1
Thayer NE,5039,8.2,15.1
Sarasota FL,426718,8.1,15.1
Lincoln SD,58807,7.9,15.1
New Haven CT,857620,11.2,15
Franklin WA,94347,10,15
Duchesne UT,19964,10,15
Kalawao HI,88,9.7,15
Latah ID,40134,9.6,15
Grant NM,27346,9.3,15
Harris GA,34475,8.9,15
Door WI,27610,8.8,15
Douglas NV,48467,8.7,15
Randall TX,136271,8.6,15
Ada ID,469966,8.6,15
Brookings SD,35232,8.3,15
Holt NE,10178,8.2,15
New London CT,266784,10.1,14.9
Dutchess NY,293718,10.1,14.9
Brazos TX,226758,9.4,14.9
Kauai HI,72133,9.1,14.9
Sherman NE,3038,8.4,14.9
Winneshiek IA,20029,8.4,14.9
Frontier NE,2608,8.4,14.9
El Paso TX,840758,8.2,14.9
Scott MN,147381,7.7,14.9
Tompkins NY,102793,10.6,14.8
Douglas KS,121436,9.9,14.8
Doña Ana NM,217522,9.9,14.8
Bernalillo NM,678701,9.7,14.8
Santa Cruz AZ,46511,9.5,14.8
San Joaquin CA,752660,9.4,14.8
Elbert CO,26282,9.4,14.8
Valley ID,11041,8.9,14.8
Hays TX,222631,8.8,14.8
Prince William VA,468011,8.8,14.8
Menard TX,2139,8.5,14.8
Knox NE,8419,8.5,14.8
Arthur NE,465,8.4,14.8
Rock NE,1360,8.3,14.8
Greeley NE,2356,8.3,14.8
Bremer IA,24947,8.2,14.8
Phelps NE,8996,8.2,14.8
Clallam WA,76737,10.5,14.7
Klickitat WA,22107,10.2,14.7
Leelanau MI,21764,9.5,14.7
Shelby AL,215707,9.3,14.7
Blaine ID,22601,9,14.7
Gallatin MT,111876,8.9,14.7
Teton ID,11640,8.8,14.7
Kleberg TX,31129,8.4,14.7
Poquoson VA,12190,8.4,14.7
Comal TX,148373,8.4,14.7
Blaine NE,476,8.4,14.7
Garden NE,1897,8.3,14.7
Hamilton NE,9280,8.1,14.7
Windsor VT,55286,10.7,14.6
Columbia WA,4059,10.3,14.6
Baltimore MD,828431,9.7,14.6
Worcester MD,51823,9.5,14.6
Amador CA,39383,9.5,14.6
Jefferson CO,580233,9.2,14.6
Mora NM,4506,9,14.6
Gilpin CO,6121,8.9,14.6
Wake NC,1092305,8.7,14.6
Bexar TX,1986049,8.5,14.6
Sioux NE,1187,8.2,14.6
Olmsted MN,156277,8.2,14.6
Cuming NE,8940,8.2,14.6
Washington RI,126179,11,14.5
Mariposa CA,17471,9.8,14.5
Mercer NJ,369811,9.5,14.5
Williamsburg VA,14896,9.5,14.5
Calvert MD,92003,9.4,14.5
Gunnison CO,17246,9.2,14.5
Routt CO,25733,9,14.5
Lake IL,700832,8.5,14.5
Beaufort SC,188715,8.3,14.5
Seward NE,17318,8.2,14.5
Washington NE,20667,8.1,14.5
Dakota MN,425423,8,14.5
Lincoln WA,10740,10.4,14.4
Grand Isle VT,7090,10.1,14.4
Essex MA,790638,10.1,14.4
Sierra CA,2987,9.8,14.4
Tuolumne CA,54539,9.7,14.4
Archuleta CO,13765,9.3,14.4
Harding NM,655,9.1,14.4
Carroll MD,168429,9,14.4
Stafford VA,149960,8.6,14.4
Buffalo NE,49615,8.5,14.4
York VA,67846,8.4,14.4
Loup NE,618,8.3,14.4
Putnam NY,98892,10.1,14.3
Suffolk NY,1481093,9.9,14.3
Chester PA,522046,9.2,14.3
Orange NC,146027,9.1,14.3
Madison MS,105630,9,14.3
Waukesha WI,403072,8.6,14.3
York NE,13772,8.4,14.3
Hampshire MA,161355,10.5,14.2
Grafton NH,89786,10.1,14.2
Dukes MA,17352,10,14.2
Clark WA,481857,9.9,14.2
Honolulu HI,980080,9,14.2
Sussex NJ,140799,8.9,14.2
Frederick MD,255648,8.4,14.2
Brewster TX,9267,8.3,14.2
Keya Paha NE,810,8.1,14.2
Sarpy NE,184459,8.1,14.2
Platte NE,33363,8,14.2
Inyo CA,17987,9.7,14.1
Charleston SC,405905,9.2,14.1
Hamilton IN,330086,8.8,14.1
Gwinnett GA,927781,8.6,14.1
Hooker NE,682,8.2,14.1
Sutton TX,3758,8,14.1
McMullen TX,749,7.9,14.1
Wahkiakum WA,4426,10.2,14
Sacramento CA,1540975,10,14
Litchfield CT,181111,10,14
Plumas CA,18804,9.7,14
Queens NY,2278906,8.7,14
Cobb GA,756865,8.7,14
Dane WI,542364,8.6,14
Gillespie TX,26804,8.5,14
Cedar NE,8446,8.1,14
Sumter FL,128754,7.9,14
Pierce WA,891299,10,13.9
Washtenaw MI,370963,9.9,13.9
Barnstable MA,213413,9.9,13.9
Calaveras CA,45602,9.8,13.9
Hinsdale CO,811,9.3,13.9
Mono CA,14250,9.2,13.9
Monmouth NJ,621354,9,13.9
Eagle CO,54993,8.7,13.9
Rockwall TX,100657,8.4,13.9
DuPage IL,928589,8.4,13.9
Collier FL,378488,8,13.9
Washington VT,58140,10.5,13.8
Cumberland ME,293557,10.4,13.8
Rockland NY,325695,10.3,13.8
Kitsap WA,269805,10,13.8
Chelan WA,77036,10,13.8
Garfield WA,2247,9.8,13.8
Larimer CO,350518,9.2,13.8
Anne Arundel MD,576031,9,13.8
San Miguel CO,8191,8.9,13.8
Williamson TN,231729,8.8,13.8
Story IA,98105,8.5,13.8
Denton TX,859064,8.5,13.8
Garfield NE,1987,8,13.8
Benton WA,201877,10.4,13.7
Newport RI,82542,10.3,13.7
Hartford CT,892697,10.3,13.7
Carbon UT,20269,10.2,13.7
Talbot MD,36968,9.7,13.7
Clear Creek CO,9605,9,13.7
Dawes NE,8716,8.5,13.7
Jeff Davis TX,2252,8.3,13.7
Rockingham NH,309176,9.8,13.6
Solano CA,446610,9.6,13.6
Monterey CA,435594,9.2,13.6
Montgomery PA,828604,9.2,13.6
Johnson IA,151260,8.6,13.6
Wayne NE,9403,8.3,13.6
Washington MN,259201,8.1,13.6
Perkins NE,2929,8,13.6
Gosper NE,1996,7.9,13.6
Dallas IA,90180,7.6,13.6
Santa Fe NM,150056,9,13.5
Fulton GA,1050114,8.7,13.5
Sevier UT,21539,10.4,13.4
Riverside CA,2450758,9.2,13.4
Mineral CO,776,9,13.4
Kittitas WA,47364,10.3,13.3
Walla Walla WA,60922,10.2,13.3
Washington OR,597695,9.9,13.3
Nantucket MA,11327,9.5,13.3
Travis TX,1248743,8.2,13.3
Whitman WA,49791,10.7,13.2
Benton OR,92101,10.4,13.2
Bristol RI,48649,10.3,13.2
Juab UT,11555,9.8,13.2
Hennepin MN,1259428,8.8,13.2
Teton WY,23081,8,13.2
Iron UT,52775,10.2,13.1
Prince George's MD,909308,10,13.1
Tolland CT,150921,9.9,13.1
Snohomish WA,814901,9.9,13.1
San Benito CA,61537,9.1,13.1
Albemarle VA,108718,8.6,13.1
Ozaukee WI,89147,8.4,13.1
San Diego CA,3343364,8.6,13
Alexandria VA,160530,8.3,13
Oconee GA,39272,8.1,13
Addison VT,36973,10.7,12.9
Whatcom WA,225685,10.2,12.9
Yolo CA,220408,9.3,12.9
James City VA,76397,8.5,12.9
Middlesex NJ,829685,8.2,12.9
Carver MN,103551,7.8,12.9
Thurston WA,286419,10,12.8
Piute UT,1445,9.9,12.8
Island WA,84460,9.7,12.8
Norfolk MA,705388,9.4,12.8
Ouray CO,4833,9,12.8
El Dorado CA,190678,9.2,12.7
Los Angeles CA,10105518,8.5,12.7
Kendall TX,45641,8.2,12.7
Borden TX,648,8,12.7
Fort Bend TX,787858,7.8,12.7
Santa Barbara CA,446527,9.3,12.6
Broomfield CO,69267,8.6,12.6
Emery UT,10014,9.9,12.5
Beaver UT,6580,9.7,12.5
Nevada CA,99696,9.3,12.5
Johnson KS,597555,8.6,12.5
Bergen NJ,936692,8.2,12.5
Middlesex CT,162682,9.6,12.4
Garfield UT,5080,9.6,12.4
Grand UT,9764,9.6,12.4
Weber UT,256359,9.5,12.4
San Luis Obispo CA,284010,9.3,12.4
Sonoma CA,499942,9.2,12.4
Forsyth GA,236612,7.9,12.4
Boulder CO,326078,8.8,12.3
Sanpete UT,30623,10.3,12.2
Hunterdon NJ,124714,9,12.2
Westchester NY,967612,9.9,12.1
Tooele UT,69907,9.7,12.1
Middlesex MA,1614714,9.3,12.1
Ventura CA,850967,8.9,12.1
New York NY,1628701,9.6,12
Santa Cruz CA,274255,9.3,12
Williamson TX,566719,8.3,12
Fayette GA,113459,8.3,12
Loudoun VA,406850,7.5,11.9
Chittenden VT,164572,10.6,11.8
Napa CA,139417,8.8,11.8
Pitkin CO,17950,8.5,11.8
Collin TX,1005146,8,11.8
Morris NJ,494228,8.4,11.7
San Francisco CA,883305,7.6,11.7
Somerset NJ,331164,8.4,11.6
Millard UT,13006,9.6,11.5
Nassau NY,1358343,9.4,11.5
Fairfax City VA,24574,7.5,11.5
Box Elder UT,54950,9.6,11.4
Salt Lake UT,1152633,9.6,11.4
Wayne UT,2690,9.5,11.4
Rich UT,2464,9.4,11.4
Fairfield CT,943823,8.9,11.3
Alameda CA,1666753,8.3,11.3
Fairfax VA,1150795,7.1,11.3
Placer CA,393149,9,11.1
Jefferson WA,31729,9.6,11
Kane UT,7709,9.5,11
Contra Costa CA,1150215,9,11
King WA,2233163,8.8,10.9
Douglas CO,342776,8.7,10.8
Arlington VA,237521,7.6,10.8
Daggett UT,980,8.9,10.7
Orange CA,3185968,8.1,10.7
San Mateo CA,769545,7.6,10.1
San Juan WA,17128,9.3,10
Washington UT,171700,9.3,9.9
Cache UT,127068,9.7,9.7
Santa Clara CA,1937570,7.5,9.7
Wasatch UT,33240,8.7,9.5
Morgan UT,12045,9,9.3
Los Alamos NM,19101,8.3,9.3
Falls Church VA,14772,7.4,9.3
Marin CA,259666,8.7,9.2
Howard MD,323196,8.4,9.1
Montgomery MD,1052567,7.9,9.1
Davis UT,351713,8.8,8.5
Summit UT,41933,8.8,8.3
Utah UT,622213,8.9,6.9
